@relation relation name
@attribute Seq Name string
@attribute Width string
@attribute GC Content string
@attribute GC Ratio string
@data
'TAE_circ00016_Traes_1AL_0F39673AF1|ta_iwgsc_1al_v2_3919870(-):(3088-2986)(3088-2986)','206','59.2233','0.7429'
'TAE_circ00018_Traes_1AL_251977A0F|ta_iwgsc_1al_v2_3920586(-):(20842-7892)(20842-7892)(21065-20842)(20757-20692)','26192','46.6402','1.0039'
'TAE_circ00018_Traes_1AL_251977A0F|ta_iwgsc_1al_v2_3920586(-):(20842-7892)(20842-7892)(21065-20842)(20757-20651)','26233','46.6893','1.0043'
'TAE_circ00018_Traes_1AL_251977A0F|ta_iwgsc_1al_v2_3920586(-):(20842-7892)(20842-7892)(21065-20842)(20757-20731)','26153','46.6103','1.0023'
'TAE_circ00020_Traes_1AL_C42DE440F|ta_iwgsc_1al_v2_3932547(-):(774-663)(774-663)','224','58.9286','0.6098'
'TAE_circ00021_Traes_1AL_C42DE440F|ta_iwgsc_1al_v2_3932547(-):(835-707)(835-707)','258','65.8915','0.4912'
'TAE_circ00022_Traes_1AL_C42DE440F|ta_iwgsc_1al_v2_3932547(-):(814-707)(814-707)','216','64.8148','0.4894'
'TAE_circ00023_Traes_1AL_C42DE440F|ta_iwgsc_1al_v2_3932547(-):(996-895)(996-895)','204','63.7255','0.8571'
'TAE_circ00024_Traes_1AL_C42DE440F|ta_iwgsc_1al_v2_3932547(-):(1304-1184)(1304-1184)','242','70.2479','0.7708'
'TAE_circ00025_Traes_1AL_DDEE6AC00|ta_iwgsc_1al_v2_3937158(+):(9810-9813)(9810-9813)(9813-9935)','131','67.9389','1.2821'
'TAE_circ00026_Traes_1AL_699B447C5|ta_iwgsc_1al_v2_3942944(-):(28066-27955)(28066-27955)','224','52.6786','0.3409'
'TAE_circ00027_Traes_1AL_FFF0FC707|ta_iwgsc_1al_v2_3943349(+):(7539-7688)(7539-7688)(7688-8257)(7639-8182)(8182-8257)','1490','37.4497','1.0743'
'TAE_circ00027_Traes_1AL_FFF0FC707|ta_iwgsc_1al_v2_3943349(+):(7539-7688)(7539-7688)(7688-8257)(7639-8182)(8182-8257)','1490','37.4497','1.0743'
'TAE_circ00027_Traes_1AL_FFF0FC707|ta_iwgsc_1al_v2_3943349(+):(7539-7688)(7539-7688)(7688-8257)(7639-8182)(8182-8257)','1490','37.4497','1.0743'
'TAE_circ00027_Traes_1AL_FFF0FC707|ta_iwgsc_1al_v2_3943349(+):(7539-7688)(7539-7688)(7688-8257)(7639-8188)(8188-8257)','1490','37.4497','1.0743'
'TAE_circ00027_Traes_1AL_FFF0FC707|ta_iwgsc_1al_v2_3943349(+):(7539-7688)(7539-7688)(7688-8257)(7639-8182)(8182-8257)','1490','37.4497','1.0743'
'TAE_circ00027_Traes_1AL_FFF0FC707|ta_iwgsc_1al_v2_3943349(+):(7539-7688)(7539-7688)(7688-8257)(7639-8182)(8182-8257)','1490','37.4497','1.0743'
'TAE_circ00027_Traes_1AL_FFF0FC707|ta_iwgsc_1al_v2_3943349(+):(7539-7688)(7539-7688)(7688-8257)(7639-8182)(8182-8257)','1490','37.4497','1.0743'
'TAE_circ00027_Traes_1AL_FFF0FC707|ta_iwgsc_1al_v2_3943349(+):(7539-7688)(7539-7688)(7688-8257)(7639-8182)(8182-8257)','1490','37.4497','1.0743'
'TAE_circ00027_Traes_1AL_FFF0FC707|ta_iwgsc_1al_v2_3943349(+):(7539-7688)(7539-7688)(7688-8257)(7639-8182)(8182-8257)','1490','37.4497','1.0743'
'TAE_circ00027_Traes_1AL_FFF0FC707|ta_iwgsc_1al_v2_3943349(+):(7539-7688)(7539-7688)(7688-8257)(7639-8182)(8182-8257)','1490','37.4497','1.0743'
'TAE_circ00027_Traes_1AL_FFF0FC707|ta_iwgsc_1al_v2_3943349(+):(7372-7688)(7372-7688)(7688-8257)(7639-8182)(8182-8257)','1824','38.0482','1.0716'
'TAE_circ00027_Traes_1AL_FFF0FC707|ta_iwgsc_1al_v2_3943349(+):(7539-7688)(7539-7688)(7688-8257)(7639-8182)(8182-8257)','1490','37.4497','1.0743'
'TAE_circ00027_Traes_1AL_FFF0FC707|ta_iwgsc_1al_v2_3943349(+):(7539-7688)(7539-7688)(7688-8257)(7639-8182)(8182-8257)','1490','37.4497','1.0743'
'TAE_circ00027_Traes_1AL_FFF0FC707|ta_iwgsc_1al_v2_3943349(+):(7539-7688)(7539-7688)(7688-8257)(7639-8182)(8182-8257)','1490','37.4497','1.0743'
'TAE_circ00028_Traes_1AL_F17CAC34F|ta_iwgsc_1al_v2_3947392(+):(4092-4201)(4092-4201)','220','52.7273','1.2308'
'TAE_circ00028_Traes_1AL_F17CAC34F|ta_iwgsc_1al_v2_3947392(+):(4092-4201)(4092-4201)','220','52.7273','1.2308'
'TAE_circ00029_Traes_1AL_E9C6EA860|ta_iwgsc_1al_v2_3947579(-):(4822-3328)(4822-3328)(4878-4822)(3399-3241)(4878-3399)','4686','41.4213','1.1663'
'TAE_circ00031_Traes_1AL_00E379EFF|ta_iwgsc_1al_v2_3957201(-):(6928-6824)(6928-6824)','210','62.8571','1.2'
'TAE_circ00031_Traes_1AL_00E379EFF|ta_iwgsc_1al_v2_3957201(-):(6928-6824)(6928-6824)','210','62.8571','1.2'
'TAE_circ00032_Traes_1AL_00E379EFF|ta_iwgsc_1al_v2_3957201(-):(11513-11337)(11513-11337)(11662-11513)(11400-11276)(11662-11400)','892','57.3991','1.0984'
'TAE_circ00031_Traes_1AL_00E379EFF|ta_iwgsc_1al_v2_3957201(-):(6928-6824)(6928-6824)','210','62.8571','1.2'
'TAE_circ00033_Traes_1AL_B649BCDF6|ta_iwgsc_1al_v2_3959546(+):(6224-6325)(6224-6325)','204','44.1176','1.6471'
'TAE_circ00034_Traes_1AL_AE0660A78|ta_iwgsc_1al_v2_3972282(-):(3722-3615)(3722-3615)','216','54.6296','1.8095'
'TAE_circ00035_Traes_1AL_DBFD7C798|ta_iwgsc_1al_v2_3974229(-):(6749-5312)(6749-5312)(6815-6749)(6626-6596)(5351-5252)(6815-5351)','4539','47.7859','1.0598'
'TAE_circ00035_Traes_1AL_DBFD7C798|ta_iwgsc_1al_v2_3974229(-):(6749-5312)(6749-5312)(6815-6749)(6626-6596)(5351-5252)(6815-5351)','4539','47.7859','1.0598'
'TAE_circ00036_Traes_1AL_F52A80CEB|ta_iwgsc_1al_v2_3974904(-):(1623-1423)(1623-1423)','402','47.7612','2.0'
'TAE_circ00036_Traes_1AL_F52A80CEB|ta_iwgsc_1al_v2_3974904(-):(1623-1423)(1623-1423)','402','47.7612','2.0'
'TAE_circ00036_Traes_1AL_F52A80CEB|ta_iwgsc_1al_v2_3974904(-):(1623-1423)(1623-1423)','402','47.7612','2.0'
'TAE_circ00036_Traes_1AL_F52A80CEB|ta_iwgsc_1al_v2_3974904(-):(1623-1423)(1623-1423)','402','47.7612','2.0'
'TAE_circ00036_Traes_1AL_F52A80CEB|ta_iwgsc_1al_v2_3974904(-):(1623-1423)(1623-1423)','402','47.7612','2.0'
'TAE_circ00036_Traes_1AL_F52A80CEB|ta_iwgsc_1al_v2_3974904(-):(1623-1423)(1623-1423)','402','47.7612','2.0'
'TAE_circ00037_Traes_1AL_36B201285|ta_iwgsc_1al_v2_3976073(-):(3046-2937)(3046-2937)','220','44.5455','0.8148'
'TAE_circ00038_Traes_1AL_EAE37DF16|ta_iwgsc_1al_v2_3978830(-):(7793-7619)(7793-7619)','350','69.7143','0.525'
'TAE_circ00038_Traes_1AL_EAE37DF16|ta_iwgsc_1al_v2_3978830(-):(7793-7619)(7793-7619)','350','69.7143','0.525'
'TAE_circ00039_Traes_1AL_99F5BB0D8|ta_iwgsc_1al_v2_3979305(+):(9566-9693)(9566-9693)','256','46.0938','1.0345'
'TAE_circ00040_Traes_1AL_99F5BB0D8|ta_iwgsc_1al_v2_3979305(+):(10419-10559)(10419-10559)','282','45.3901','1.2069'
'TAE_circ00041_Traes_1AS_C7E294E15|ta_iwgsc_1as_v1_1128350(-):(840-694)(840-694)','294','51.7007','1.9231'
'TAE_circ00042_Traes_1AS_C7E294E15|ta_iwgsc_1as_v1_1128350(-):(815-711)(815-711)','210','52.381','1.5'
'TAE_circ00041_Traes_1AS_C7E294E15|ta_iwgsc_1as_v1_1128350(-):(840-694)(840-694)','294','51.7007','1.9231'
'TAE_circ00042_Traes_1AS_C7E294E15|ta_iwgsc_1as_v1_1128350(-):(815-711)(815-711)','210','52.381','1.5'
'TAE_circ00041_Traes_1AS_C7E294E15|ta_iwgsc_1as_v1_1128350(-):(840-694)(840-694)','294','51.7007','1.9231'
'TAE_circ00042_Traes_1AS_C7E294E15|ta_iwgsc_1as_v1_1128350(-):(815-711)(815-711)','210','52.381','1.5'
'TAE_circ00043_Traes_1AS_10A0B5BBF|ta_iwgsc_1as_v1_2546343(-):(438-338)(438-338)','202','58.4158','0.4048'
'TAE_circ00044_Traes_1AS_10A0B5BBF|ta_iwgsc_1as_v1_2546343(-):(448-348)(448-348)','202','58.4158','0.4048'
'TAE_circ00045_Traes_1AS_BAFF9D0B4|ta_iwgsc_1as_v1_3252153(+):(2084-9508)(2084-9508)(9508-9556)','14899','41.627','1.0215'
'TAE_circ00046_Traes_1AS_F9C024A5D|ta_iwgsc_1as_v1_3255681(-):(2432-2322)(2432-2322)','222','64.8649','0.6'
'TAE_circ00046_Traes_1AS_F9C024A5D|ta_iwgsc_1as_v1_3255681(-):(2432-2322)(2432-2322)','222','64.8649','0.6'
'TAE_circ00047_Traes_1AS_7DCCD2977|ta_iwgsc_1as_v1_3263376(-):(3162-2887)(3162-2887)(3215-3162)(3082-3002)(2917-2563)(3215-2917)','1341','44.5936','1.1588'
'TAE_circ00047_Traes_1AS_7DCCD2977|ta_iwgsc_1as_v1_3263376(-):(3162-2887)(3162-2887)(3215-3162)(3082-3002)(2917-2686)(3215-2917)','1218','45.156','1.1318'
'TAE_circ00047_Traes_1AS_7DCCD2977|ta_iwgsc_1as_v1_3263376(-):(3162-2887)(3162-2887)(3215-3162)(3082-3002)(2917-2234)(3215-2917)','1670','44.5509','1.1257'
'TAE_circ00047_Traes_1AS_7DCCD2977|ta_iwgsc_1as_v1_3263376(-):(3162-2887)(3162-2887)(3215-3162)(3082-3002)(2917-2563)(3215-2917)','1341','44.5936','1.1588'
'TAE_circ00047_Traes_1AS_7DCCD2977|ta_iwgsc_1as_v1_3263376(-):(3162-2887)(3162-2887)(3215-3162)(3082-3002)(2917-2618)(3215-2917)','1286','44.79','1.1413'
'TAE_circ00048_Traes_1AS_5007D75E3|ta_iwgsc_1as_v1_3266128(-):(2207-2036)(2207-2036)','344','45.9302','1.1351'
'TAE_circ00049_Traes_1AS_5D942BC8F|ta_iwgsc_1as_v1_3306253(+):(24615-24762)(24615-24762)','296','43.2432','1.1333'
'TAE_circ00050_Traes_1AS_171AA28CA|ta_iwgsc_1as_v1_3307967(-):(2217-2011)(2217-2011)','414','57.0048','1.6818'
'TAE_circ00051_Traes_1BL_B08DFCFE9|ta_iwgsc_1bl_v1_2970142(+):(2696-2806)(2696-2806)','222','50.4505','0.931'
'TAE_circ00051_Traes_1BL_B08DFCFE9|ta_iwgsc_1bl_v1_2970142(+):(2696-2806)(2696-2806)','222','50.4505','0.931'
'TAE_circ00052_Traes_1BL_D1480195C|ta_iwgsc_1bl_v1_3051196(-):(13282-13182)(13282-13182)','202','68.3168','1.2258'
'TAE_circ00052_Traes_1BL_D1480195C|ta_iwgsc_1bl_v1_3051196(-):(13282-13182)(13282-13182)','202','68.3168','1.2258'
'TAE_circ00052_Traes_1BL_D1480195C|ta_iwgsc_1bl_v1_3051196(-):(13282-13182)(13282-13182)','202','68.3168','1.2258'
'TAE_circ00052_Traes_1BL_D1480195C|ta_iwgsc_1bl_v1_3051196(-):(13282-13182)(13282-13182)','202','68.3168','1.2258'
'TAE_circ00052_Traes_1BL_D1480195C|ta_iwgsc_1bl_v1_3051196(-):(13282-13182)(13282-13182)','202','68.3168','1.2258'
'TAE_circ00053_Traes_1BL_7A5358469|ta_iwgsc_1bl_v1_3790721(+):(9465-9642)(9465-9642)','356','50.0','0.7115'
'TAE_circ00053_Traes_1BL_7A5358469|ta_iwgsc_1bl_v1_3790721(+):(9465-9642)(9465-9642)','356','50.0','0.7115'
'TAE_circ00053_Traes_1BL_7A5358469|ta_iwgsc_1bl_v1_3790721(+):(9465-9642)(9465-9642)','356','50.0','0.7115'
'TAE_circ00053_Traes_1BL_7A5358469|ta_iwgsc_1bl_v1_3790721(+):(9465-9642)(9465-9642)','356','50.0','0.7115'
'TAE_circ00053_Traes_1BL_7A5358469|ta_iwgsc_1bl_v1_3790721(+):(9465-9642)(9465-9642)','356','50.0','0.7115'
'TAE_circ00053_Traes_1BL_7A5358469|ta_iwgsc_1bl_v1_3790721(+):(9465-9642)(9465-9642)','356','50.0','0.7115'
'TAE_circ00053_Traes_1BL_7A5358469|ta_iwgsc_1bl_v1_3790721(+):(9465-9642)(9465-9642)','356','50.0','0.7115'
'TAE_circ00053_Traes_1BL_7A5358469|ta_iwgsc_1bl_v1_3790721(+):(9465-9642)(9465-9642)','356','50.0','0.7115'
'TAE_circ00053_Traes_1BL_7A5358469|ta_iwgsc_1bl_v1_3790721(+):(9465-9642)(9465-9642)','356','50.0','0.7115'
'TAE_circ00053_Traes_1BL_7A5358469|ta_iwgsc_1bl_v1_3790721(+):(9465-9642)(9465-9642)','356','50.0','0.7115'
'TAE_circ00054_Traes_1BL_22EDF8650|ta_iwgsc_1bl_v1_3791635(-):(7704-7593)(7704-7593)','224','49.1071','0.375'
'TAE_circ00055_Traes_1BL_22EDF8650|ta_iwgsc_1bl_v1_3791635(-):(7712-7595)(7712-7595)','236','49.1525','0.3488'
'TAE_circ00056_Traes_1BL_22EDF8650|ta_iwgsc_1bl_v1_3791635(-):(7708-7595)(7708-7595)','228','49.1228','0.3659'
'TAE_circ00054_Traes_1BL_22EDF8650|ta_iwgsc_1bl_v1_3791635(-):(7704-7593)(7704-7593)','224','49.1071','0.375'
'TAE_circ00055_Traes_1BL_22EDF8650|ta_iwgsc_1bl_v1_3791635(-):(7712-7595)(7712-7595)','236','49.1525','0.3488'
'TAE_circ00056_Traes_1BL_22EDF8650|ta_iwgsc_1bl_v1_3791635(-):(7708-7595)(7708-7595)','228','49.1228','0.3659'
'TAE_circ00054_Traes_1BL_22EDF8650|ta_iwgsc_1bl_v1_3791635(-):(7704-7593)(7704-7593)','224','49.1071','0.375'
'TAE_circ00055_Traes_1BL_22EDF8650|ta_iwgsc_1bl_v1_3791635(-):(7712-7595)(7712-7595)','236','49.1525','0.3488'
'TAE_circ00056_Traes_1BL_22EDF8650|ta_iwgsc_1bl_v1_3791635(-):(7708-7595)(7708-7595)','228','49.1228','0.3659'
'TAE_circ00057_Traes_1BL_EC3E899FE|ta_iwgsc_1bl_v1_3792355(+):(326-452)(326-452)','254','36.2205','1.4211'
'TAE_circ00057_Traes_1BL_EC3E899FE|ta_iwgsc_1bl_v1_3792355(+):(326-452)(326-452)','254','36.2205','1.4211'
'TAE_circ00058_Traes_1BL_D1954B55C|ta_iwgsc_1bl_v1_3793980(+):(1340-1447)(1340-1447)','216','56.4815','2.2105'
'TAE_circ00058_Traes_1BL_D1954B55C|ta_iwgsc_1bl_v1_3793980(+):(1340-1447)(1340-1447)','216','56.4815','2.2105'
'TAE_circ00058_Traes_1BL_D1954B55C|ta_iwgsc_1bl_v1_3793980(+):(1340-1447)(1340-1447)','216','56.4815','2.2105'
'TAE_circ00059_Traes_1BL_DF255C12E|ta_iwgsc_1bl_v1_3796162(+):(6714-6919)(6714-6919)(6919-7847)(6847-7744)(7744-7847)','2343','39.1379','1.2475'
'TAE_circ00060_Traes_1BL_FE986890F|ta_iwgsc_1bl_v1_3796578(+):(1074-1213)(1074-1213)(1213-1315)(1133-1287)(1287-1315)','567','46.7372','1.1901'
'TAE_circ00060_Traes_1BL_FE986890F|ta_iwgsc_1bl_v1_3796578(+):(1074-1213)(1074-1213)(1213-1315)(1133-1287)(1287-1315)','567','46.7372','1.1901'
'TAE_circ00061_Traes_1BL_4FC8B7868|ta_iwgsc_1bl_v1_3799120(-):(2044-1904)(2044-1904)','282','29.7872','0.8261'
'TAE_circ00062_Traes_1BL_E38BBC0DA1|ta_iwgsc_1bl_v1_3800169(-):(12070-11926)(12070-11926)','290','56.5517','0.6735'
'TAE_circ00062_Traes_1BL_E38BBC0DA1|ta_iwgsc_1bl_v1_3800169(-):(12070-11926)(12070-11926)','290','56.5517','0.6735'
'TAE_circ00063_Traes_1BL_AA80E94B5|ta_iwgsc_1bl_v1_3804689(-):(10990-10984)(10990-10984)(11101-10990)','126','47.619','1.4'
'TAE_circ00063_Traes_1BL_AA80E94B5|ta_iwgsc_1bl_v1_3804689(-):(10990-10984)(10990-10984)(11101-10990)','126','47.619','1.4'
'TAE_circ00063_Traes_1BL_AA80E94B5|ta_iwgsc_1bl_v1_3804689(-):(10990-10984)(10990-10984)(11101-10990)','126','47.619','1.4'
'TAE_circ00063_Traes_1BL_AA80E94B5|ta_iwgsc_1bl_v1_3804689(-):(10990-10984)(10990-10984)(11101-10990)','126','47.619','1.4'
'TAE_circ00063_Traes_1BL_AA80E94B5|ta_iwgsc_1bl_v1_3804689(-):(10990-10984)(10990-10984)(11101-10990)','126','47.619','1.4'
'TAE_circ00064_Traes_1BL_4B20D3268|ta_iwgsc_1bl_v1_3809490(-):(6160-5686)(6160-5686)(6203-6160)(5723-5686)(6203-5723)','1513','36.616','0.9236'
'TAE_circ00064_Traes_1BL_4B20D3268|ta_iwgsc_1bl_v1_3809490(-):(6160-5686)(6160-5686)(6203-6160)(5723-5686)(6203-5723)','1513','36.616','0.9236'
'TAE_circ00066_Traes_1BL_5AD1617A8|ta_iwgsc_1bl_v1_3813291(+):(3396-3581)(3396-3581)','372','59.1398','0.7188'
'TAE_circ00066_Traes_1BL_5AD1617A8|ta_iwgsc_1bl_v1_3813291(+):(3396-3581)(3396-3581)','372','59.1398','0.7188'
'TAE_circ00067_Traes_1BL_3DBCF27F6|ta_iwgsc_1bl_v1_3825333(-):(4814-4710)(4814-4710)','210','46.6667','1.3333'
'TAE_circ00067_Traes_1BL_3DBCF27F6|ta_iwgsc_1bl_v1_3825333(-):(4814-4710)(4814-4710)','210','46.6667','1.3333'
'TAE_circ00067_Traes_1BL_3DBCF27F6|ta_iwgsc_1bl_v1_3825333(-):(4814-4710)(4814-4710)','210','46.6667','1.3333'
'TAE_circ00067_Traes_1BL_3DBCF27F6|ta_iwgsc_1bl_v1_3825333(-):(4814-4710)(4814-4710)','210','46.6667','1.3333'
'TAE_circ00067_Traes_1BL_3DBCF27F6|ta_iwgsc_1bl_v1_3825333(-):(4814-4710)(4814-4710)','210','46.6667','1.3333'
'TAE_circ00067_Traes_1BL_3DBCF27F6|ta_iwgsc_1bl_v1_3825333(-):(4814-4710)(4814-4710)','210','46.6667','1.3333'
'TAE_circ00067_Traes_1BL_3DBCF27F6|ta_iwgsc_1bl_v1_3825333(-):(4814-4710)(4814-4710)','210','46.6667','1.3333'
'TAE_circ00067_Traes_1BL_3DBCF27F6|ta_iwgsc_1bl_v1_3825333(-):(4814-4710)(4814-4710)','210','46.6667','1.3333'
'TAE_circ00067_Traes_1BL_3DBCF27F6|ta_iwgsc_1bl_v1_3825333(-):(4814-4710)(4814-4710)','210','46.6667','1.3333'
'TAE_circ00067_Traes_1BL_3DBCF27F6|ta_iwgsc_1bl_v1_3825333(-):(4814-4710)(4814-4710)','586','45.5631','1.3945'
'TAE_circ00069_Traes_1BL_90AEA85D5|ta_iwgsc_1bl_v1_3838872(-):(4332-4258)(4332-4258)(4367-4332)','186','48.3871','0.875'
'TAE_circ00070_Traes_1BL_90AEA85D5|ta_iwgsc_1bl_v1_3838872(-):(5450-5334)(5450-5334)','234','74.359','0.5'
'TAE_circ00070_Traes_1BL_90AEA85D5|ta_iwgsc_1bl_v1_3838872(-):(5450-5334)(5450-5334)','234','74.359','0.5'
'TAE_circ00070_Traes_1BL_90AEA85D5|ta_iwgsc_1bl_v1_3838872(-):(5450-5334)(5450-5334)','234','74.359','0.5'
'TAE_circ00070_Traes_1BL_90AEA85D5|ta_iwgsc_1bl_v1_3838872(-):(5450-5334)(5450-5334)','234','74.359','0.5'
'TAE_circ00071_Traes_1BL_4F99047F1|ta_iwgsc_1bl_v1_3845345(+):(5736-5866)(5736-5866)','262','38.9313','1.8333'
'TAE_circ00071_Traes_1BL_4F99047F1|ta_iwgsc_1bl_v1_3845345(+):(5736-5866)(5736-5866)','262','38.9313','1.8333'
'TAE_circ00071_Traes_1BL_4F99047F1|ta_iwgsc_1bl_v1_3845345(+):(5736-5866)(5736-5866)','262','38.9313','1.8333'
'TAE_circ00071_Traes_1BL_4F99047F1|ta_iwgsc_1bl_v1_3845345(+):(5736-5866)(5736-5866)','262','38.9313','1.8333'
'TAE_circ00072_Traes_1BL_A192B4948|ta_iwgsc_1bl_v1_3854502(+):(2810-2917)(2810-2917)','216','55.5556','0.8182'
'TAE_circ00072_Traes_1BL_A192B4948|ta_iwgsc_1bl_v1_3854502(+):(2810-2917)(2810-2917)','216','55.5556','0.8182'
'TAE_circ00072_Traes_1BL_A192B4948|ta_iwgsc_1bl_v1_3854502(+):(2810-2917)(2810-2917)','216','55.5556','0.8182'
'TAE_circ00073_Traes_1BL_D63696FF3|ta_iwgsc_1bl_v1_3862050(-):(2788-2633)(2788-2633)','312','57.0513','1.2821'
'TAE_circ00073_Traes_1BL_D63696FF3|ta_iwgsc_1bl_v1_3862050(-):(2788-2633)(2788-2633)','312','57.0513','1.2821'
'TAE_circ00074_Traes_1BL_138994523|ta_iwgsc_1bl_v1_3876737(-):(2000-1034)(2000-1034)(2030-2000)(1074-1003)(2030-1074)','2994','44.155','0.9501'
'TAE_circ00074_Traes_1BL_138994523|ta_iwgsc_1bl_v1_3876737(-):(1988-1034)(1988-1034)(2030-1988)(1074-1003)(2030-1074)','2982','44.0309','0.9482'
