@relation relation name
@attribute Seq Name string
@attribute Width string
@attribute GC Content string
@attribute GC Ratio string
@data
'ath_circ_000124','147','42.1769','1.0'
'ath_circ_000125','1136','38.7324','1.0091'
'ath_circ_000126','70334','38.5148','0.9851'
'ath_circ_000127','423','41.3712','1.2436'
'ath_circ_000128','89','51.6854','2.2857'
'ath_circ_000129','76','48.6842','1.0556'
'ath_circ_000130','224','47.7679','0.9455'
'ath_circ_000131','490','44.2857','0.9204'
'ath_circ_000132','575','35.8261','1.1915'
'ath_circ_000133','275','36.3636','1.1277'
'ath_circ_000134','650','34.1538','1.2424'
'ath_circ_000135','649','34.9769','1.4149'
'ath_circ_000136','254','38.9764','1.9118'
'ath_circ_000137','102','43.1373','0.8333'
'ath_circ_000138','197','41.6244','0.907'
'ath_circ_000139','574','37.8049','0.7222'
'ath_circ_000140','87','44.8276','0.7727'
'ath_circ_000141','1101','38.4196','1.0534'
'ath_circ_000142','501','39.9202','1.5'
'ath_circ_000143','146','37.6712','1.5'
'ath_circ_000144','413','47.9419','1.5714'
'ath_circ_000145','216','49.537','1.675'
'ath_circ_000146','3850','41.6104','0.8309'
'ath_circ_000147','216','55.0926','0.3222'
'ath_circ_000148','132','56.0606','0.3214'
'ath_circ_000149','224','49.1071','0.9643'
'ath_circ_000150','220','47.2727','0.4444'
'ath_circ_000151','2234','39.7046','0.8518'
'ath_circ_000152','174','44.2529','1.0263'
'ath_circ_000153','2502','37.2502','1.1279'
'ath_circ_000154','2477','37.3436','1.1462'
'ath_circ_000155','626','40.4153','1.3426'
'ath_circ_000156','3213','37.535','1.1613'
'ath_circ_000157','419','41.2888','1.2179'
'ath_circ_000158','3006','37.4584','1.1326'
'ath_circ_000159','2516','36.9634','1.1088'
'ath_circ_000160','2510','37.0916','1.1159'
'ath_circ_000161','256','32.4219','1.4412'
'ath_circ_000162','295','41.0169','1.42'
'ath_circ_000163','57','43.8596','2.5714'
'ath_circ_000164','595','35.4622','0.7016'
'ath_circ_000165','343','48.688','1.1974'
'ath_circ_000166','1321','38.38','1.0779'
'ath_circ_000167','1337','38.2947','1.0562'
'ath_circ_000168','695','38.2734','1.2167'
'ath_circ_000169','143','51.7483','0.85'
'ath_circ_000170','5579','40.0789','1.277'
'ath_circ_000171','5679','40.0423','1.29'
'ath_circ_000172','5695','39.8244','1.3143'
'ath_circ_000173','5707','40.021','1.3259'
'ath_circ_000174','5716','40.098','1.3128'
'ath_circ_000175','435','36.7816','1.1918'
'ath_circ_000176','544','37.5','1.0'
'ath_circ_000177','392','29.5918','0.871'
'ath_circ_000178','392','29.5918','0.871'
'ath_circ_000179','417','29.0168','0.8333'
'ath_circ_000180','279','50.8961','1.3667'
'ath_circ_000181','392','45.4082','0.78'
'ath_circ_000182','449','39.1982','0.8144'
'ath_circ_000183','1308','37.3853','0.7279'
'ath_circ_000184','939','37.1672','0.7024'
'ath_circ_000185','941','37.1945','0.699'
'ath_circ_000186','182','31.3187','0.7812'
'ath_circ_000187','218','36.6972','0.7021'
'ath_circ_000188','335','40.597','0.6386'
'ath_circ_000189','203','44.8276','0.75'
'ath_circ_000190','697','44.0459','0.6868'
'ath_circ_000191','63','52.381','0.375'
'ath_circ_000192','303','47.5248','0.4845'
'ath_circ_000193','314','47.4522','0.4608'
'ath_circ_000194','138','47.1014','0.5476'
'ath_circ_000195','123','47.1545','0.9333'
'ath_circ_000196','125','52.0','0.8571'
'ath_circ_000197','635','45.1969','1.1579'
'ath_circ_000198','224','54.4643','1.1034'
'ath_circ_000199','281','34.8754','0.96'
'ath_circ_000200','687','41.1936','1.036'
'ath_circ_000201','1027','40.9932','0.9765'
'ath_circ_000202','428','42.0561','0.875'
'ath_circ_000203','279','44.4444','0.9375'
'ath_circ_000204','60','43.3333','1.0'
'ath_circ_000205','1054','38.425','0.9014'
'ath_circ_000206','331','35.3474','0.8571'
'ath_circ_000207','437','40.9611','1.0575'
'ath_circ_000208','728','37.5','0.7843'
'ath_circ_000209','207','44.4444','0.9167'
'ath_circ_000210','210','41.9048','0.5172'
'ath_circ_000211','47','38.2979','0.8'
'ath_circ_000212','232','44.8276','0.6508'
'ath_circ_000213','2394','36.3409','1.0913'
'ath_circ_000214','266','42.1053','0.9649'
'ath_circ_000215','269','42.3792','0.9322'
'ath_circ_000216','2110','38.8152','0.8363'
'ath_circ_000217','654','39.1437','0.8824'
'ath_circ_000218','2799','32.2972','0.7418'
'ath_circ_000219','157','36.9427','0.5263'
'ath_circ_000220','593','40.6408','0.7985'
'ath_circ_000221','401','40.1496','1.0641'
'ath_circ_000222','276','49.6377','0.9028'
'ath_circ_000223','276','49.6377','0.9028'
'ath_circ_000224','101','33.6634','0.8889'
'ath_circ_000225','84','35.7143','0.7647'
'ath_circ_000226','942','39.3843','1.2622'
'ath_circ_000227','1698','38.5159','1.1165'
'ath_circ_000228','111','41.4414','0.7037'
'ath_circ_000229','163','41.7178','0.7895'
'ath_circ_000230','139','43.1655','0.6667'
'ath_circ_000231','174','43.6782','0.6522'
'ath_circ_000232','82','46.3415','0.3571'
'ath_circ_000233','143','44.0559','0.5366'
'ath_circ_000234','76','46.0526','0.4'
'ath_circ_000235','163','44.7853','0.6591'
'ath_circ_000236','374','51.6043','1.5733'
'ath_circ_000237','105','51.4286','1.5714'
'ath_circ_000238','77','55.8442','3.3'
'ath_circ_000239','105','55.2381','3.4615'
'ath_circ_000240','105','54.2857','3.3846'
'ath_circ_000241','80','53.75','3.7778'
'ath_circ_000242','80','46.25','1.4667'
'ath_circ_000243','133','45.1128','0.2245'
'ath_circ_000244','198','43.4343','0.9111'
'ath_circ_000245','231','38.5281','1.0698'
'ath_circ_000246','576','40.1042','0.9914'
'ath_circ_000247','987','34.6505','1.3425'
'ath_circ_000248','1592','34.1709','1.1587'
'ath_circ_000249','272','35.6618','1.1087'
'ath_circ_000250','270','52.2222','0.3429'
'ath_circ_000251','96771','38.5043','1.0124'
'ath_circ_000252','629','38.4738','0.7536'
'ath_circ_000253','470','32.5532','0.6105'
'ath_circ_000254','612','38.2353','1.3168'
'ath_circ_000255','826','38.9831','1.3676'
'ath_circ_000256','52','44.2308','0.0952'
'ath_circ_000257','399','33.0827','1.4906'
'ath_circ_000258','238','42.8571','1.55'
'ath_circ_000259','98','54.0816','0.2927'
'ath_circ_000260','2835','35.873','0.9153'
'ath_circ_000261','94','37.234','0.9444'
'ath_circ_000262','774','40.3101','0.743'
'ath_circ_000263','88','42.0455','0.6087'
'ath_circ_000264','353','39.9433','0.6588'
'ath_circ_000265','27','51.8519','0.4'
'ath_circ_000266','1296','36.034','0.8242'
'ath_circ_000267','201','41.791','0.7143'
'ath_circ_000268','112','51.7857','1.7619'
'ath_circ_000269','219','41.0959','2.0'
'ath_circ_000270','96','38.5417','0.9474'
'ath_circ_000271','53','41.5094','0.5714'
'ath_circ_000272','60','40.0','0.5'
'ath_circ_000273','729','40.3292','0.8968'
'ath_circ_000274','3124','40.4289','1.1553'
'ath_circ_000275','1218','40.2299','1.1491'
'ath_circ_000276','1891','40.5077','1.1638'
'ath_circ_000277','167','46.1078','0.75'
'ath_circ_000278','1024','40.0391','1.1134'
'ath_circ_000279','2783','40.6037','1.1565'
'ath_circ_000280','511','39.1389','1.1739'
'ath_circ_000281','2515','40.3976','1.2087'
'ath_circ_000282','296','38.5135','1.4255'
'ath_circ_000283','546','39.1941','1.2526'
'ath_circ_000284','2136','40.5431','1.1924'
'ath_circ_000285','325','41.2308','1.2712'
'ath_circ_000286','500','41.4','1.4353'
'ath_circ_000287','1915','41.0444','1.1894'
'ath_circ_000288','771','41.3748','1.2465'
'ath_circ_000289','392','42.0918','1.037'
'ath_circ_000290','578','41.8685','1.1802'
'ath_circ_000291','1061','41.3761','1.1841'
'ath_circ_000292','1478','41.2043','1.1368'
'ath_circ_000293','618','41.1003','1.2087'
'ath_circ_000294','1329','41.6102','1.1188'
'ath_circ_000295','1014','40.927','1.1728'
'ath_circ_000296','808','41.4604','1.0552'
'ath_circ_000297','81','44.4444','0.3333'
'ath_circ_000298','571','39.7548','0.9076'
'ath_circ_000299','383','42.8198','0.9759'
'ath_circ_000300','383','42.8198','0.9759'
'ath_circ_000301','105','52.381','2.4375'
'ath_circ_000302','106','56.6038','1.8571'
'ath_circ_000303','415','38.5542','1.1053'
'ath_circ_000304','680','38.8235','0.8723'
'ath_circ_000305','541','35.305','0.819'
'ath_circ_000306','429','50.8159','0.7724'
'ath_circ_000307','196','49.4898','1.0638'
'ath_circ_000308','309','47.8964','1.96'
'ath_circ_000309','514','43.1907','1.6747'
'ath_circ_000310','851','40.0705','1.8898'
'ath_circ_000311','429','37.296','1.8571'
'ath_circ_000312','719','39.2211','1.6604'
'ath_circ_000313','1339','38.0134','1.5707'
'ath_circ_000314','478','40.3766','1.6438'
'ath_circ_000315','292','42.4658','1.5833'
'ath_circ_000316','88894','38.5302','1.0059'
'ath_circ_000317','487','40.2464','0.9216'
'ath_circ_000318','71','40.8451','1.2308'
'ath_circ_000319','2531','36.4678','1.0695'
'ath_circ_000320','63','41.2698','2.7143'
'ath_circ_000321','724','40.0552','0.8471'
'ath_circ_000322','278','41.0072','0.9655'
'ath_circ_000323','567','39.6825','0.9565'
'ath_circ_000324','380','42.6316','1.0769'
'ath_circ_000325','567','39.6825','0.9565'
'ath_circ_000326','109','33.945','1.0556'
'ath_circ_000327','210','45.7143','1.087'
'ath_circ_000328','88','42.0455','1.1765'
'ath_circ_000329','501','44.3114','1.2887'
'ath_circ_000330','874','39.7025','1.4964'
'ath_circ_000331','394','45.1777','1.507'
'ath_circ_000332','144','45.1389','1.4074'
'ath_circ_000333','1441','40.458','1.12'
'ath_circ_000334','165','32.7273','1.7'
'ath_circ_000335','770','40.2597','0.8902'
'ath_circ_000336','399','38.8471','0.7816'
'ath_circ_000337','485','38.7629','0.7407'
'ath_circ_000338','2732','42.0571','0.8009'
'ath_circ_000339','155','33.5484','0.625'
'ath_circ_000340','126','49.2063','0.8235'
'ath_circ_000341','520','42.5','1.1048'
'ath_circ_000342','534','41.3858','0.8417'
'ath_circ_000343','370','45.1351','0.9881'
'ath_circ_000344','936','41.9872','1.3533'
'ath_circ_000345','940','38.1915','1.3618'
'ath_circ_000346','174950','36.2881','0.9854'
'ath_circ_000347','174961','36.2892','0.9854'
'ath_circ_000348','1726','37.8911','1.0828'
'ath_circ_000349','479','41.9624','0.9901'
'ath_circ_000350','1067','38.5192','0.8767'
'ath_circ_000351','164','45.122','0.8974'
'ath_circ_000352','1899','39.5998','1.1006'
'ath_circ_000353','807','37.6704','1.068'
'ath_circ_000354','580','43.4483','1.0'
'ath_circ_000355','333','42.3423','0.88'
'ath_circ_000356','462','39.6104','0.8673'
'ath_circ_000357','493','40.568','0.6529'
'ath_circ_000358','544','37.6838','1.1134'
'ath_circ_000359','736','42.3913','1.1972'
'ath_circ_000360','117','47.0085','2.2353'
'ath_circ_000361','679','38.7334','1.3909'
'ath_circ_000362','441','39.4558','1.4507'
'ath_circ_000363','826','40.799','1.2925'
'ath_circ_000364','240','44.5833','0.8136'
'ath_circ_000365','342','36.8421','1.3774'
'ath_circ_000366','314','42.0382','0.9412'
'ath_circ_000367','323','43.9628','0.6905'
'ath_circ_000368','426','35.9155','0.8889'
'ath_circ_000369','116','42.2414','0.75'
'ath_circ_000370','493','39.1481','0.6356'
'ath_circ_000371','631','38.9857','0.7203'
'ath_circ_000372','1029','38.6783','0.7848'
'ath_circ_000373','1624','38.7931','0.75'
'ath_circ_000374','1557','37.1869','0.8381'
'ath_circ_000375','223','48.4305','0.6364'
'ath_circ_000376','1790','46.9274','0.7213'
'ath_circ_000377','1555','42.0579','0.7165'
'ath_circ_000378','239','41.841','0.7857'
'ath_circ_000379','611','46.6448','0.8874'
'ath_circ_000380','441','43.7642','0.595'
'ath_circ_000381','82','36.5854','0.2'
'ath_circ_000382','1108','39.3502','1.18'
'ath_circ_000383','84','44.0476','1.3125'
'ath_circ_000384','360','37.5','1.4107'
'ath_circ_000385','1108','39.3502','1.18'
'ath_circ_000386','113','41.5929','1.2381'
'ath_circ_000387','327','42.2018','1.76'
'ath_circ_000388','137','21.8978','1.3077'
'ath_circ_000389','634','37.8549','0.9672'
'ath_circ_000390','1433','36.6364','0.9737'
'ath_circ_000391','1587','37.051','0.9342'
'ath_circ_000392','58631','36.9668','0.968'
'ath_circ_000393','1208','38.0795','0.9742'
'ath_circ_000394','338','37.2781','1.0'
'ath_circ_000395','523','36.5201','1.0105'
'ath_circ_000396','64','45.3125','0.5263'
'ath_circ_000397','580','37.5862','1.1373'
'ath_circ_000398','63','46.0317','0.7059'
'ath_circ_000399','868','39.7465','1.1166'
'ath_circ_000400','117','44.4444','0.4444'
'ath_circ_000401','1089','39.0266','0.9585'
'ath_circ_000402','613','40.783','1.0661'
'ath_circ_000403','870','40.0','1.0838'
'ath_circ_000404','178','48.3146','0.4333'
'ath_circ_000405','92','43.4783','4.0'
'ath_circ_000406','312','40.0641','1.3585'
'ath_circ_000407','730','39.726','1.1168'
'ath_circ_000408','335','35.5224','0.8308'
'ath_circ_000409','717','39.749','0.7925'
'ath_circ_000410','114','61.4035','0.3725'
'ath_circ_000411','139','48.9209','1.2667'
'ath_circ_000412','2500','37.68','1.0749'
'ath_circ_000413','845','45.3254','0.8152'
'ath_circ_000414','81','49.3827','1.0'
'ath_circ_000415','460','44.7826','1.1684'
'ath_circ_000416','742','43.8005','1.0833'
'ath_circ_000417','144','47.2222','0.8378'
'ath_circ_000418','321','40.1869','1.434'
'ath_circ_000419','321','40.1869','1.434'
'ath_circ_000420','1111','42.2142','1.0216'
'ath_circ_000421','507','41.2229','1.0096'
'ath_circ_000422','1111','42.2142','1.0216'
'ath_circ_000423','86','46.5116','1.5'
'ath_circ_000424','594','38.8889','0.7907'
'ath_circ_000425','342','39.7661','0.5814'
'ath_circ_000426','470','39.7872','0.6847'
'ath_circ_000427','216','53.2407','0.2105'
'ath_circ_000428','1699','37.2572','1.1828'
'ath_circ_000429','1162','42.2547','1.372'
'ath_circ_000430','171','46.7836','0.6667'
'ath_circ_000431','608','38.6513','0.9748'
'ath_circ_000432','89','38.2022','0.7'
'ath_circ_000433','1050','37.2381','0.7378'
'ath_circ_000434','586','37.884','0.776'
'ath_circ_000435','789','36.8821','0.7219'
'ath_circ_000436','2062','37.8758','0.8551'
'ath_circ_000437','82','39.0244','0.4545'
'ath_circ_000438','241','37.3444','0.5'
'ath_circ_000439','68','42.6471','0.381'
'ath_circ_000440','63','42.8571','0.35'
'ath_circ_000441','61','45.9016','0.2174'
'ath_circ_000442','788','39.8477','0.8471'
'ath_circ_000443','183','34.4262','0.8529'
'ath_circ_000444','348','39.0805','1.0606'
'ath_circ_000445','944','41.3136','0.7568'
'ath_circ_000446','339','40.118','0.863'
'ath_circ_000447','922','38.5033','0.8205'
'ath_circ_000448','2096','38.4065','0.9121'
'ath_circ_000449','321','38.0062','1.3922'
'ath_circ_000450','1083','38.1348','1.0446'
'ath_circ_000451','620','38.871','0.812'
'ath_circ_000452','620','38.871','0.812'
'ath_circ_000453','867','39.7924','0.7969'
'ath_circ_000454','206','34.9515','0.9459'
'ath_circ_000455','334','42.515','0.775'
'ath_circ_000456','323','32.1981','1.4186'
'ath_circ_000457','967','37.1251','0.9301'
'ath_circ_000458','126','45.2381','1.1923'
'ath_circ_000459','447','41.1633','0.8776'
'ath_circ_000460','110','48.1818','1.0385'
'ath_circ_000461','270','47.037','1.3091'
'ath_circ_000462','712','44.8034','0.9814'
'ath_circ_000463','227','45.815','1.0'
'ath_circ_000464','1489','38.4822','0.8911'
'ath_circ_000465','86','37.2093','0.7778'
'ath_circ_000466','591','36.5482','0.9817'
'ath_circ_000467','228','65.7895','0.1628'
'ath_circ_000468','228','65.7895','0.1628'
'ath_circ_000469','174','38.5057','0.3673'
'ath_circ_000470','461','38.3948','0.7879'
'ath_circ_000471','1652','37.954','0.7368'
'ath_circ_000472','470','39.1489','0.84'
'ath_circ_000473','905','38.7845','0.6794'
'ath_circ_000474','1066','37.8049','0.6933'
'ath_circ_000475','1383','36.6594','0.6733'
'ath_circ_000476','1459','39.0679','0.9064'
'ath_circ_000477','279','46.595','1.0312'
'ath_circ_000478','278','46.4029','1.0156'
'ath_circ_000479','214','34.5794','1.7407'
'ath_circ_000480','272','47.4265','0.6538'
'ath_circ_000481','102','44.1176','0.5517'
'ath_circ_000482','471','40.3397','1.0'
'ath_circ_000483','579','37.133','0.8067'
'ath_circ_000484','737','38.1275','0.8247'
'ath_circ_000485','210','39.0476','1.2162'
'ath_circ_000486','1967','37.5699','0.8709'
'ath_circ_000487','1551','38.1044','0.8129'
'ath_circ_000488','1698','38.1625','0.8567'
'ath_circ_000489','1446','37.8976','0.8639'
'ath_circ_000490','503','38.3698','0.8558'
'ath_circ_000491','1073','38.863','0.8451'
'ath_circ_000492','492','40.0407','0.7281'
'ath_circ_000493','639','39.7496','0.854'
'ath_circ_000494','129','44.9612','0.5263'
'ath_circ_000495','486','39.9177','0.7798'
'ath_circ_000496','682','38.1232','1.2609'
'ath_circ_000497','682','38.1232','1.2609'
'ath_circ_000498','2403','41.4482','0.9191'
'ath_circ_000499','764','39.9215','1.1329'
'ath_circ_000500','815','41.227','1.255'
'ath_circ_000501','453','43.0464','1.191'
'ath_circ_000502','453','43.0464','1.191'
'ath_circ_000503','264','42.803','1.3061'
'ath_circ_000504','269','43.1227','1.2745'
'ath_circ_000505','264','42.803','1.3061'
'ath_circ_000506','1138','35.413','0.9469'
'ath_circ_000507','597','39.531','0.9032'
'ath_circ_000508','1030','38.932','0.9279'
'ath_circ_000509','307','40.3909','0.7465'
'ath_circ_000510','1007','39.424','0.9461'
'ath_circ_000511','2017','37.6301','0.8422'
'ath_circ_000512','1781','38.63','0.8595'
'ath_circ_000513','1905','38.6352','0.9267'
'ath_circ_000514','111','42.3423','0.9583'
'ath_circ_000515','257','32.6848','0.8667'
'ath_circ_000516','92','44.5652','1.4118'
'ath_circ_000517','670','41.6418','0.9241'
'ath_circ_000518','1231','38.5865','0.9'
'ath_circ_000519','405','36.7901','0.9103'
'ath_circ_000520','1869','37.2927','1.0321'
'ath_circ_000521','890','38.6517','1.2194'
'ath_circ_000522','1321','38.6828','1.2711'
'ath_circ_000523','5161','38.0546','1.1418'
'ath_circ_000524','2023','39.1003','1.2282'
'ath_circ_000525','524','38.5496','1.3765'
'ath_circ_000526','524','38.5496','1.3765'
'ath_circ_000527','2472','37.5405','1.0995'
'ath_circ_000528','62','40.3226','2.5714'
'ath_circ_000529','795','37.8616','1.2632'
'ath_circ_000530','795','37.8616','1.2632'
'ath_circ_000531','1611','37.5543','1.1685'
'ath_circ_000532','671','36.2146','1.0593'
'ath_circ_000533','894','37.6957','1.1062'
'ath_circ_000534','665','38.797','1.3455'
'ath_circ_000535','665','38.797','1.3455'
'ath_circ_000536','145','46.2069','1.4815'
'ath_circ_000537','148','41.8919','0.5897'
'ath_circ_000538','165','36.9697','1.1034'
'ath_circ_000539','248','41.129','0.7'
'ath_circ_000540','96','23.9583','1.0909'
'ath_circ_000541','156','52.5641','0.9524'
'ath_circ_000542','160','53.125','0.8889'
'ath_circ_000543','143','34.965','0.7857'
'ath_circ_000544','143','34.965','0.7857'
'ath_circ_000545','63','44.4444','0.75'
'ath_circ_000546','536','37.6866','0.8198'
'ath_circ_000547','225','42.6667','0.7455'
'ath_circ_000548','637','38.1476','1.1504'
'ath_circ_000549','1086','36.7403','1.1111'
'ath_circ_000550','2695','36.4007','1.1006'
'ath_circ_000551','244','30.7377','0.9231'
'ath_circ_000552','286','41.6084','1.6444'
'ath_circ_000553','1175','38.1277','1.3704'
'ath_circ_000554','467','41.3276','1.2442'
'ath_circ_000555','154','42.2078','1.1667'
'ath_circ_000556','885','39.774','1.1595'
'ath_circ_000557','847','39.4333','0.887'
'ath_circ_000558','225','46.2222','0.8909'
'ath_circ_000559','260','55.7692','1.2308'
'ath_circ_000560','302','40.7285','0.9219'
'ath_circ_000561','633','39.1785','1.084'
'ath_circ_000562','135','47.4074','0.8286'
'ath_circ_000563','719','36.7177','0.913'
'ath_circ_000564','435','38.6207','0.931'
'ath_circ_000565','1516','36.4776','0.9541'
'ath_circ_000566','1700','36.1765','0.934'
'ath_circ_000567','1316','37.0061','0.8517'
'ath_circ_000568','317','43.5331','0.725'
'ath_circ_000569','91','46.1538','0.4'
'ath_circ_000570','321','45.1713','1.3387'
'ath_circ_000571','646','43.6533','1.256'
'ath_circ_000572','84','47.619','1.8571'
'ath_circ_000573','84','47.619','1.8571'
'ath_circ_000574','302','42.053','0.8143'
'ath_circ_000575','1200','41.5833','0.9266'
'ath_circ_000576','188','31.383','0.7353'
'ath_circ_000577','7959','36.2231','0.908'
'ath_circ_000578','7907','36.2337','0.9011'
'ath_circ_000579','7930','36.2043','0.9076'
'ath_circ_000580','265','44.1509','1.1667'
'ath_circ_000581','44','50.0','1.75'
'ath_circ_000582','147','48.2993','0.6136'
'ath_circ_000583','663','36.3499','0.7985'
'ath_circ_000584','491','42.7699','1.8'
'ath_circ_000585','861','42.741','1.4865'
'ath_circ_000586','282','45.7447','1.2241'
'ath_circ_000587','195','44.1026','1.2051'
'ath_circ_000588','833','42.0168','1.1341'
'ath_circ_000589','369','44.4444','1.1579'
'ath_circ_000590','170','43.5294','0.8974'
'ath_circ_000591','554','43.5018','1.114'
'ath_circ_000592','223','30.9417','1.76'
'ath_circ_000593','602','39.701','1.1727'
'ath_circ_000594','103','47.5728','0.6897'
'ath_circ_000595','502','38.4462','1.0753'
'ath_circ_000596','4086','38.7176','1.0954'
'ath_circ_000597','4060','38.7192','1.0932'
'ath_circ_000598','4029','38.4463','1.0792'
'ath_circ_000599','3923','38.3635','1.0874'
'ath_circ_000600','3573','31.5141','0.9583'
'ath_circ_000601','3567','31.9316','0.9437'
'ath_circ_000602','3540','31.8927','0.9168'
'ath_circ_000603','1495','39.3311','1.0206'
'ath_circ_000604','713','38.9902','1.0902'
'ath_circ_000605','437','38.2151','0.9647'
'ath_circ_000606','707','40.5941','0.8165'
