@relation relation name
@attribute Seq Name string
@attribute Width string
@attribute GC Content string
@attribute GC Ratio string
@data
'tae_circ_000099','2977','37.9577','0.8464'
'tae_circ_000100','6270','41.6427','0.9721'
'tae_circ_000101','3424','40.8879','1.1638'
'tae_circ_000102','48663','37.098','1.0505'
'tae_circ_000103','9928','42.5766','1.0157'
'tae_circ_000104','6501','45.6545','1.0611'
'tae_circ_000105','5314','40.0263','0.9841'
'tae_circ_000106','19607','45.443','0.8742'
'tae_circ_000107','19680','45.437','0.8754'
'tae_circ_000108','8178','45.1455','1.117'
'tae_circ_000109','24785','35.3561','1.0398'
'tae_circ_000110','5224','45.693','1.0649'
'tae_circ_000111','913','40.0876','0.7681'
'tae_circ_000112','4757','45.1125','1.1143'
'tae_circ_000113','12681','39.3344','1.0527'
'tae_circ_000114','54953','47.8336','0.9428'
'tae_circ_000115','1115','38.1166','1.2849'
'tae_circ_000116','6808','42.6116','1.116'
'tae_circ_000117','2062','46.1688','0.7468'
'tae_circ_000118','2062','46.2658','0.7473'
'tae_circ_000119','24141','46.4645','0.986'
'tae_circ_000120','13937','41.501','0.9026'
'tae_circ_000121','4232','44.4234','1.0935'
'tae_circ_000122','8106','39.5263','0.9693'
'tae_circ_000123','7853','43.4866','1.056'
'tae_circ_000124','8455','46.1857','0.9663'
'tae_circ_000125','6392','52.0181','0.9536'
'tae_circ_000126','70978','44.7378','1.025'
'tae_circ_000127','4050','43.4074','1.2058'
'tae_circ_000128','328','56.4024','0.8878'
'tae_circ_000129','44663','45.8903','0.9148'
'tae_circ_000130','18684','31.3049','1.1347'
'tae_circ_000131','2822','37.314','0.9682'
'tae_circ_000132','16015','44.9017','0.9227'
'tae_circ_000133','1290','37.8295','1.0333'
'tae_circ_000134','1282','37.9095','1.0335'
'tae_circ_000135','1276','37.8527','1.0294'
'tae_circ_000136','1436','39.4847','1.0396'
'tae_circ_000137','1429','39.4682','1.0435'
'tae_circ_000138','1447','39.5992','1.0247'
'tae_circ_000139','10071','40.85','0.8959'
'tae_circ_000140','11010','44.9046','1.0304'
'tae_circ_000141','1442','37.3093','0.9078'
'tae_circ_000142','13607','47.5344','0.9458'
'tae_circ_000143','1158','38.2556','1.0605'
'tae_circ_000144','1612','37.469','0.8875'
'tae_circ_000145','49626','48.4484','1.014'
'tae_circ_000146','798','48.2456','0.7188'
'tae_circ_000147','3759','50.4655','1.1078'
'tae_circ_000148','217','43.318','0.88'
'tae_circ_000149','47003','40.9208','0.9507'
'tae_circ_000150','976','39.5492','0.7706'
'tae_circ_000151','6621','28.8778','1.019'
'tae_circ_000152','1936','45.5062','1.3875'
'tae_circ_000153','6624','50.1963','0.8935'
'tae_circ_000154','1702','46.3572','0.7152'
'tae_circ_000155','1687','45.821','0.7178'
'tae_circ_000156','54627','44.024','1.0608'
'tae_circ_000157','9926','34.3542','0.9575'
'tae_circ_000158','262','51.9084','0.971'
'tae_circ_000159','12830','44.4739','1.0503'
'tae_circ_000160','45906','46.1051','0.9112'
'tae_circ_000161','44677','45.867','0.9153'
'tae_circ_000162','44307','45.8505','0.9161'
