,Seq Name,Width,GC Content,GC Ratio
0,HVU_circ00001_MLOC_65169|Chr1(+):(526316-526391)(526316-526391)(526493-526522)(526610-526875),448,43.5268,1.2414
26,HVU_circ00015_MLOC_43525|Chr1(+):(19177729-19177792)(19177729-19177792)(19178373-19178450)(19178545-19178607)(19179435-19179527)(19179867-19180516)(19177729-19177792)(19178373-19178450)(19178545-19178607)(19179435-19179531)(19179871-19180516)(19177729-19177792)(19178373-19178450)(19178545-19178607)(19179435-19179527)(19179867-19180347)(19177729-19177792)(19178373-19178450)(19178545-19178607)(19179435-19179527)(19179867-19179923)(19177729-19177792)(19178373-19178450)(19178545-19178607)(19179435-19179528)(19177729-19177980)(19177729-19177792)(19178373-19178450)(19178545-19178607)(19179435-19179527)(19179867-19180347)(19177729-19177792)(19178373-19178450)(19178545-19178610)(19179438-19179445)(19177729-19177792)(19178373-19178450)(19178545-19178607)(19179435-19179527)(19179867-19180273)(19177729-19177792)(19178373-19178450)(19178545-19178607)(19179435-19179527)(19179867-19179948),5725,46.3406,0.9932
27,HVU_circ00015_MLOC_43525|Chr1(+):(19177729-19177792)(19177729-19177792)(19184220-19184566)(19184680-19184962)(19185074-19185142)(19185411-19185500)(19185619-19186393)(19184220-19184566)(19184680-19184760)(19184897-19184962)(19185074-19185142)(19185411-19185500)(19185619-19185684)(19186347-19186393)(19178545-19178607)(19179435-19179527)(19179867-19180516)(19178545-19178607)(19179435-19179531)(19179871-19180516)(19178545-19178607)(19179435-19179527)(19179867-19180347)(19178545-19178607)(19179435-19179527)(19179867-19179923)(19178545-19178607)(19179435-19179528)(19178545-19178607)(19179435-19179527)(19179867-19180347)(19178545-19178610)(19179438-19179445)(19178545-19178607)(19179435-19179527)(19179867-19180273)(19178545-19178607)(19179435-19179527)(19179867-19179948),6589,48.1105,0.9628
28,HVU_circ00016_MLOC_43525|Chr1(+):(19187055-19187132)(19187055-19187132)(19184220-19184566)(19184680-19184962)(19185074-19185142)(19185411-19185500)(19185619-19186393)(19186462-19186525)(19184220-19184566)(19184680-19184760)(19184897-19184962)(19185074-19185142)(19185411-19185500)(19185619-19185684)(19186347-19186393)(19186462-19186525)(19187055-19187132)(19179435-19179527)(19179867-19180516)(19179435-19179531)(19179871-19180516)(19179435-19179527)(19179867-19180347)(19179435-19179527)(19179867-19179923)(19179435-19179528)(19179435-19179527)(19179867-19180347)(19179438-19179445)(19179435-19179527)(19179867-19180273)(19179435-19179527)(19179867-19179948),6253,47.6891,0.9593
29,HVU_circ00017_MLOC_43525|Chr1(+):(19187055-19187132)(19187055-19187132)(19187228-19187290)(19184220-19184566)(19184680-19184962)(19185074-19185142)(19185411-19185500)(19185619-19186393)(19186462-19186525)(19184220-19184566)(19184680-19184760)(19184897-19184962)(19185074-19185142)(19185411-19185500)(19185619-19185684)(19186347-19186393)(19186462-19186525)(19187055-19187132)(19187228-19187290),2818,48.2257,0.839
30,HVU_circ00018_MLOC_56929|Chr1(+):(19668988-19671047)(19668988-19671047)(19671841-19672449),4729,53.1825,0.9526
31,HVU_circ00019_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
32,HVU_circ00019_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
33,HVU_circ00019_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
34,HVU_circ00020_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
35,HVU_circ00020_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
36,HVU_circ00020_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
37,HVU_circ00021_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
38,HVU_circ00021_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
39,HVU_circ00021_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
40,HVU_circ00022_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
41,HVU_circ00022_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
42,HVU_circ00022_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
43,HVU_circ00023_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
44,HVU_circ00023_MLOC_370|Chr1(-):(23867219-23866696)(23867219-23866696)(23865900-23863992)(23866856-23866696)(23865906-23863992),5033,42.3008,1.073
45,HVU_circ00024_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
46,HVU_circ00024_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
47,HVU_circ00024_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
48,HVU_circ00025_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
49,HVU_circ00025_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
50,HVU_circ00025_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
51,HVU_circ00026_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
52,HVU_circ00026_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
53,HVU_circ00026_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
54,HVU_circ00027_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
55,HVU_circ00027_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
56,HVU_circ00027_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
57,HVU_circ00028_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
58,HVU_circ00028_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
59,HVU_circ00028_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
60,HVU_circ00029_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
61,HVU_circ00029_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
62,HVU_circ00029_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
63,HVU_circ00030_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
64,HVU_circ00030_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
65,HVU_circ00030_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
66,HVU_circ00031_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
67,HVU_circ00031_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
68,HVU_circ00031_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
69,HVU_circ00032_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
70,HVU_circ00032_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
71,HVU_circ00032_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
72,HVU_circ00033_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
73,HVU_circ00033_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
74,HVU_circ00033_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
75,HVU_circ00034_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
76,HVU_circ00034_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
77,HVU_circ00034_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
78,HVU_circ00035_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
79,HVU_circ00035_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
80,HVU_circ00035_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
81,HVU_circ00036_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
82,HVU_circ00036_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
83,HVU_circ00036_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
84,HVU_circ00037_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
85,HVU_circ00037_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
86,HVU_circ00037_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
87,HVU_circ00038_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
88,HVU_circ00038_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
89,HVU_circ00038_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
90,HVU_circ00039_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
91,HVU_circ00039_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
92,HVU_circ00039_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
93,HVU_circ00040_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
94,HVU_circ00040_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
95,HVU_circ00040_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
96,HVU_circ00041_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
97,HVU_circ00041_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
98,HVU_circ00041_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
99,HVU_circ00042_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
100,HVU_circ00042_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
101,HVU_circ00042_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
102,HVU_circ00043_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
103,HVU_circ00043_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
104,HVU_circ00043_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
105,HVU_circ00044_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
106,HVU_circ00044_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
107,HVU_circ00044_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
108,HVU_circ00045_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
109,HVU_circ00045_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
110,HVU_circ00045_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
111,HVU_circ00046_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
112,HVU_circ00046_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
113,HVU_circ00046_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
114,HVU_circ00047_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
115,HVU_circ00047_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
116,HVU_circ00047_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
117,HVU_circ00048_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
118,HVU_circ00048_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
119,HVU_circ00048_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
120,HVU_circ00049_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
121,HVU_circ00049_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
122,HVU_circ00049_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
123,HVU_circ00050_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
124,HVU_circ00050_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
125,HVU_circ00050_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
126,HVU_circ00051_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
127,HVU_circ00051_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
128,HVU_circ00051_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
129,HVU_circ00052_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
130,HVU_circ00052_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
131,HVU_circ00052_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
132,HVU_circ00053_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
133,HVU_circ00053_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
134,HVU_circ00053_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
135,HVU_circ00054_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
136,HVU_circ00054_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
137,HVU_circ00054_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
138,HVU_circ00055_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
139,HVU_circ00055_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
140,HVU_circ00055_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
141,HVU_circ00056_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
142,HVU_circ00056_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
143,HVU_circ00056_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
144,HVU_circ00057_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
145,HVU_circ00057_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
146,HVU_circ00057_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
147,HVU_circ00058_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
148,HVU_circ00058_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
149,HVU_circ00058_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
150,HVU_circ00059_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
151,HVU_circ00059_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
152,HVU_circ00059_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
153,HVU_circ00060_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
154,HVU_circ00060_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
155,HVU_circ00060_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
156,HVU_circ00061_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
157,HVU_circ00061_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
158,HVU_circ00061_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
159,HVU_circ00062_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
160,HVU_circ00062_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
161,HVU_circ00062_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
162,HVU_circ00063_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
163,HVU_circ00063_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
164,HVU_circ00063_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
165,HVU_circ00064_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
166,HVU_circ00064_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
167,HVU_circ00064_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
168,HVU_circ00065_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
169,HVU_circ00065_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
170,HVU_circ00065_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
171,HVU_circ00066_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
172,HVU_circ00066_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
173,HVU_circ00066_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
174,HVU_circ00067_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
175,HVU_circ00067_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
176,HVU_circ00067_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
177,HVU_circ00068_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
178,HVU_circ00068_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
179,HVU_circ00068_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
180,HVU_circ00069_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
181,HVU_circ00069_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
182,HVU_circ00069_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
183,HVU_circ00070_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
184,HVU_circ00070_MLOC_370|Chr1(-):(23867219-23866696)(23867219-23866696)(23865900-23863992),2957,41.9682,1.107
185,HVU_circ00070_MLOC_370|Chr1(-):(23866856-23866696)(23866856-23866696)(23865906-23863992),2237,42.9593,0.9979
186,HVU_circ00071_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
187,HVU_circ00071_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
188,HVU_circ00071_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
189,HVU_circ00072_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
190,HVU_circ00072_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
191,HVU_circ00072_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
192,HVU_circ00073_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
193,HVU_circ00073_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
194,HVU_circ00073_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
195,HVU_circ00074_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
196,HVU_circ00074_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
197,HVU_circ00074_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
198,HVU_circ00075_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
199,HVU_circ00075_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
200,HVU_circ00075_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
201,HVU_circ00076_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
202,HVU_circ00076_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
203,HVU_circ00076_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
204,HVU_circ00077_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
205,HVU_circ00077_MLOC_370|Chr1(-):(23867219-23866696)(23867219-23866696)(23865900-23863992),2957,41.9682,1.107
206,HVU_circ00077_MLOC_370|Chr1(-):(23866856-23866696)(23866856-23866696)(23865906-23863992),2237,42.9593,0.9979
207,HVU_circ00078_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
208,HVU_circ00078_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
209,HVU_circ00078_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
210,HVU_circ00079_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
211,HVU_circ00079_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
212,HVU_circ00079_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
213,HVU_circ00080_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
214,HVU_circ00080_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
215,HVU_circ00080_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
216,HVU_circ00081_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
217,HVU_circ00081_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
218,HVU_circ00081_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
219,HVU_circ00082_MLOC_370|Chr1(-):(23867219-23863099)(23867219-23863099),8242,41.8588,1.0683
220,HVU_circ00082_MLOC_370|Chr1(-):(23865900-23863992)(23865900-23863992),3818,42.5877,1.0582
221,HVU_circ00082_MLOC_370|Chr1(-):(23865906-23863992)(23865906-23863992),3830,42.5587,1.0633
