,Seq Name,Width,GC Content,GC Ratio
21,GMA_circ00001_GLYMA01G00740|Chr1(+):(429464-429718)(429464-429718)(429718-430437)(429611-430179)(430179-430437),2058,37.7551,1.4824
22,GMA_circ00002_GLYMA01G02200|Chr1(+):(1734005-1734064)(1734005-1734064),120,55.0,5.6
23,GMA_circ00003_GLYMA01G02480|Chr1(-):(2012900-2010488)(2012900-2010488)(2012980-2012900)(2012269-2012110)(2012022-2011991)(2011800-2011735)(2010841-2010770)(2010651-2010100)(2012980-2010651),8119,35.8419,1.0522
24,GMA_circ00004_GLYMA01G02780|Chr1(+):(2278686-2278988)(2278686-2278988),606,45.5446,2.3659
25,GMA_circ00005_GLYMA01G02941|Chr1(-):(2435275-2434956)(2435275-2434956),640,55.3125,2.766
26,GMA_circ00006_GLYMA01G02941|Chr1(-):(2435272-2434968)(2435272-2434968),610,54.4262,2.6889
27,GMA_circ00007_GLYMA01G03260|Chr1(-):(2787356-2785861)(2787356-2785861)(2787409-2787356)(2787263-2787132)(2786364-2786299)(2786164-2786100)(2785933-2785842)(2787409-2785933),4878,36.1009,1.0477
28,GMA_circ00008_GLYMA01G04710|Chr1(+):(4323774-4324160)(4323774-4324160)(4324160-4324977)(4323864-4324812)(4324812-4324977),2707,35.0573,1.0996
29,GMA_circ00009_GLYMA01G07530|Chr1(+):(8329590-8329821)(8329590-8329821)(8329821-8330946)(8330095-8330294)(8330397-8330531)(8329590-8330739)(8330739-8330946),3283,37.6485,1.0808
30,GMA_circ00010_GLYMA01G09310|Chr1(+):(11249628-11249721)(11249628-11249721)(11249721-11252693)(11249817-11249900)(11250004-11250147)(11250509-11250625)(11252466-11252513)(11249628-11252613)(11252613-11252693),6621,37.668,1.4073
31,GMA_circ00011_GLYMA01G22170|Chr1(-):(27751347-27747256)(27751347-27747256)(27751508-27751347)(27751261-27751220)(27750406-27750335)(27750141-27750062)(27748509-27748412)(27747911-27747864)(27747405-27746482)(27751508-27747405),13714,33.1413,1.1957
32,GMA_circ00012_GLYMA01G34700|Chr1(-):(47143435-47142793)(47143435-47142793)(47143963-47143435)(47142986-47141946)(47143963-47142986),3834,39.5409,1.2164
33,GMA_circ00013_GLYMA01G34700|Chr1(-):(47143435-47142847)(47143435-47142847)(47144017-47143435)(47142986-47141946)(47144017-47142986),3834,39.4888,1.2463
34,GMA_circ00014_GLYMA01G34700|Chr1(-):(47146529-47146182)(47146529-47146182),696,43.3908,1.6491
35,GMA_circ00015_GLYMA01G35620|Chr1(+):(48138256-48138861)(48138256-48138861),1212,44.0594,2.1047
36,GMA_circ00016_GLYMA01G36110|Chr1(+):(48585102-48585840)(48585102-48585840),1478,47.4966,1.2075
37,GMA_circ00017_GLYMA01G36430|Chr1(+):(48939963-48940089)(48939963-48940089)(48940089-48942567)(48940209-48940265)(48940427-48940472)(48940576-48940728)(48940822-48940947)(48941407-48941496)(48941618-48941839)(48941928-48942026)(48942136-48942314)(48939963-48942415)(48942415-48942567),6311,39.0905,1.2864
38,GMA_circ00018_GLYMA01G38940|Chr1(-):(50927077-50926771)(50927077-50926771),614,62.8664,3.7073
39,GMA_circ00019_GLYMA01G38940|Chr1(-):(50927224-50926819)(50927224-50926819),812,60.0985,2.05
40,GMA_circ00020_GLYMA01G39960|Chr1(-):(51770922-51770495)(51770922-51770495)(51771123-51770922)(51770695-51770495)(51771123-51770695),1688,39.0403,1.1327
41,GMA_circ00021_GLYMA01G40510|Chr1(-):(52242139-52241750)(52242139-52241750),780,52.0513,3.06
42,GMA_circ00022_GLYMA01G40510|Chr1(-):(52242042-52241854)(52242042-52241854),378,48.1481,4.3529
43,GMA_circ00023_GLYMA01G41150|Chr1(-):(52716778-52707299)(52716778-52707299)(52716893-52716778)(52716687-52716579)(52716257-52716088)(52715572-52715481)(52715172-52714993)(52714909-52714826)(52708863-52708736)(52708571-52708370)(52708281-52708075)(52707429-52707299)(52716893-52707429),29844,36.7846,1.0725
44,GMA_circ00024_GLYMA01G41620|Chr1(+):(53074903-53075018)(53074903-53075018)(53075018-53075945)(53074985-53075873)(53075873-53075945),2122,38.2187,1.3923
45,GMA_circ00024_GLYMA01G41620|Chr1(+):(53074973-53075018)(53074973-53075018)(53075018-53075945)(53074985-53075873)(53075873-53075945),1982,37.891,1.4463
46,GMA_circ00025_GLYMA01G44450|Chr1(-):(55122115-55120621)(55122115-55120621)(55122229-55122115)(55121468-55121375)(55120892-55120800)(55120696-55120258)(55122229-55120696),5265,34.5489,1.4816
47,GMA_circ00025_GLYMA01G44450|Chr1(-):(55122115-55120621)(55122115-55120621)(55122229-55122115)(55121468-55121375)(55120880-55120800)(55120696-55120258)(55122229-55120696),5253,34.5326,1.4781
48,GMA_circ00025_GLYMA01G44450|Chr1(-):(55122115-55120621)(55122115-55120621)(55122229-55122115)(55121459-55121375)(55120880-55120800)(55120696-55120258)(55122229-55120696),5244,34.5538,1.4754
49,GMA_circ00026_GLYMA01G44491|Chr1(-):(55158873-55157323)(55158873-55157323)(55160979-55158873)(55157768-55157653)(55157441-55157323)(55160979-55157441),8983,36.3798,1.0644
50,GMA_circ00026_GLYMA01G44491|Chr1(-):(55158873-55157323)(55158873-55157323)(55160979-55158873)(55157785-55157653)(55157441-55157323)(55160979-55157441),9000,36.3889,1.0636
51,GMA_circ00027_GLYMA01G45560|Chr1(-):(55774054-55773505)(55774054-55773505)(55774125-55774054)(55773987-55773933)(55773856-55773505)(55774125-55773856),1849,47.2688,0.3488
52,GMA_circ00028_GLYMA02G03090|Chr2(+):(2412497-2412918)(2412497-2412918),844,42.891,2.7708
53,GMA_circ00029_GLYMA02G03530|Chr2(-):(2785142-2784283)(2785142-2784283)(2785310-2785142)(2784966-2784824)(2784341-2783771)(2785310-2784341),3573,38.2592,1.0044
54,GMA_circ00030_GLYMA02G04320|Chr2(+):(3499296-3499427)(3499296-3499427)(3499427-3500710)(3500195-3500260)(3500396-3500460)(3499296-3500641)(3500641-3500710),3095,35.6381,1.113
55,GMA_circ00031_GLYMA02G05350|Chr2(-):(4327303-4324581)(4327303-4324581)(4327340-4327303)(4327171-4327038)(4326565-4326487)(4326349-4326258)(4326168-4326091)(4325452-4325390)(4325278-4325044)(4324821-4324483)(4327340-4324821),9024,36.3254,1.2059
56,GMA_circ00032_GLYMA02G05450|Chr2(-):(4390330-4390156)(4390330-4390156),350,52.0,1.1163
57,GMA_circ00033_GLYMA02G05500|Chr2(-):(4410857-4409804)(4410857-4409804)(4411033-4410857)(4409865-4409465)(4411033-4409865),3855,37.821,1.1347
58,GMA_circ00034_GLYMA02G06440|Chr2(-):(5132388-5132323)(5132388-5132323),132,48.4848,31.0
59,GMA_circ00035_GLYMA02G09610|Chr2(-):(7548394-7548122)(7548394-7548122),546,46.8864,4.8182
60,GMA_circ00036_GLYMA02G11260|Chr2(-):(9438155-9437892)(9438155-9437892),528,41.6667,1.8947
61,GMA_circ00037_GLYMA02G11610|Chr2(+):(9793282-9793975)(9793282-9793975),1388,44.3804,2.08
62,GMA_circ00038_GLYMA02G11640|Chr2(+):(9842113-9842527)(9842113-9842527),830,48.6747,2.6727
63,GMA_circ00039_GLYMA02G13790|Chr2(+):(12114727-12114901)(12114727-12114901)(12114901-12116810)(12115006-12115111)(12116137-12116226)(12114813-12116391)(12116391-12116810),4455,36.431,1.1873
64,GMA_circ00040_GLYMA02G15640|Chr2(-):(14134707-14131720)(14134707-14131720)(14134758-14134707)(14134616-14134537)(14133407-14133348)(14133016-14132936)(14131942-14131456)(14134758-14131942),9553,34.6802,1.0629
65,GMA_circ00041_GLYMA02G16000|Chr2(+):(14439556-14439774)(14439556-14439774),438,53.8813,1.4082
66,GMA_circ00042_GLYMA02G17470|Chr2(+):(15723636-15723757)(15723636-15723757)(15723757-15724443)(15723636-15724267)(15724267-15724443),1740,35.1724,1.4094
67,GMA_circ00042_GLYMA02G17470|Chr2(+):(15723636-15723757)(15723636-15723757)(15723757-15724443)(15723636-15724278)(15724278-15724443),1740,35.1724,1.4094
68,GMA_circ00042_GLYMA02G17470|Chr2(+):(15723636-15724443)(15723636-15724443),1616,34.5297,1.3058
69,GMA_circ00043_GLYMA02G18090|Chr2(-):(16503230-16503144)(16503230-16503144),174,49.4253,0.5357
70,GMA_circ00044_GLYMA02G28577|Chr2(-):(29838161-29837192)(29838161-29837192)(29838460-29838161)(29838055-29837903)(29837480-29837410)(29837310-29837192)(29838460-29837310),3734,38.0289,1.6007
71,GMA_circ00044_GLYMA02G28577|Chr2(-):(29838161-29837192)(29838161-29837192)(29838460-29838161)(29838055-29837903)(29837480-29837410)(29837310-29836001)(29838460-29837310),4925,35.4721,1.4886
72,GMA_circ00045_GLYMA02G28830|Chr2(+):(29996566-29996910)(29996566-29996910),690,58.2609,2.35
73,GMA_circ00046_GLYMA02G28830|Chr2(+):(29996572-29996916)(29996572-29996916),690,58.2609,2.2951
74,GMA_circ00047_GLYMA02G36766|Chr2(+):(42189759-42191178)(42189759-42191178)(42191178-42191488)(42189759-42191368)(42191368-42191488),4882,41.7042,1.561
75,GMA_circ00048_GLYMA02G37160|Chr2(-):(42497520-42491790)(42497520-42491790)(42497643-42497520)(42497156-42497052)(42494743-42494659)(42494560-42494526)(42494426-42494361)(42494269-42494229)(42493607-42493477)(42493296-42493190)(42493053-42492916)(42492130-42491996)(42491879-42491530)(42497643-42491879),18544,34.8792,0.9464
76,GMA_circ00048_GLYMA02G37160|Chr2(-):(42497520-42491790)(42497520-42491790)(42497643-42497520)(42497156-42497052)(42494759-42494659)(42494560-42494526)(42494426-42494361)(42494269-42494229)(42493607-42493477)(42493296-42493190)(42493053-42492916)(42492130-42491996)(42491879-42491530)(42497643-42491879),18560,34.8761,0.9468
77,GMA_circ00049_GLYMA02G39200|Chr2(+):(44466814-44467006)(44466814-44467006),386,46.114,11.7143
78,GMA_circ00050_GLYMA02G41700|Chr2(-):(46791175-46788826)(46791175-46788826)(46791431-46791175)(46790955-46790850)(46790754-46790669)(46790313-46789841)(46789412-46789131)(46788864-46788382)(46791431-46788864),8955,38.2468,0.9924
79,GMA_circ00051_GLYMA02G43150|Chr2(+):(48005686-48005859)(48005686-48005859)(48005859-48006057)(48005705-48005958)(48005958-48006057),901,40.9545,1.7955
80,GMA_circ00052_GLYMA02G43970|Chr2(+):(48662561-48662712)(48662561-48662712)(48662712-48666730)(48662827-48663018)(48663094-48663277)(48663363-48663433)(48663513-48663664)(48664289-48664457)(48665437-48665583)(48666018-48666110)(48662563-48666556)(48666556-48666730),9500,34.4105,1.3367
81,GMA_circ00053_GLYMA02G45000|Chr2(-):(49405333-49401740)(49405333-49401740)(49405389-49405333)(49405236-49405156)(49405008-49404772)(49403818-49403663)(49403560-49403383)(49403298-49403117)(49402015-49401668)(49405389-49402015),11802,36.1125,1.2634
82,GMA_circ00054_GLYMA02G45650|Chr2(+):(49832621-49833037)(49832621-49833037),834,52.0384,3.617
83,GMA_circ00055_GLYMA02G45650|Chr2(+):(49833071-49833863)(49833071-49833863),1586,41.6141,2.0
84,GMA_circ00056_GLYMA02G46230|Chr2(-):(50246525-50244804)(50246525-50244804)(50246799-50246525)(50246412-50246297)(50246210-50246151)(50246050-50245808)(50245717-50245532)(50245439-50245191)(50245100-50244308)(50246799-50245100),7066,41.169,1.179
85,GMA_circ00057_GLYMA02G47210|Chr2(-):(50873586-50873479)(50873586-50873479),216,41.6667,10.25
86,GMA_circ00058_GLYMA02G47560|Chr2(+):(51104449-51104561)(51104449-51104561),226,53.0973,1.3077
87,GMA_circ00306_GLYMA10G00680|Chr10(-):(434801-433828)(434801-433828)(434891-434801)(434125-433996)(433912-433800)(434891-433912),3262,35.9902,1.6804
88,GMA_circ00307_GLYMA10G03190|Chr10(-):(2312098-2311685)(2312098-2311685),828,41.3043,2.6383
89,GMA_circ00308_GLYMA10G03200|Chr10(+):(2315349-2315451)(2315349-2315451)(2315451-2316903)(2315560-2315698)(2316014-2316291)(2315378-2316733)(2316733-2316903),3603,38.1904,1.1235
90,GMA_circ00309_GLYMA10G03200|Chr10(+):(2315560-2315698)(2315560-2315698)(2315698-2316897)(2316014-2316291)(2315612-2316733)(2316733-2316897),3043,37.956,1.1
91,GMA_circ00311_GLYMA10G04300|Chr10(-):(3264650-3264486)(3264650-3264486),330,37.5758,1.9524
92,GMA_circ00312_GLYMA10G05030|Chr10(+):(3916882-3916961)(3916882-3916961)(3916961-3917821)(3917241-3917394)(3916882-3917743)(3917743-3917821),2116,32.5614,0.8723
93,GMA_circ00313_GLYMA10G05935|Chr10(-):(4671592-4666689)(4671592-4666689)(4671679-4671592)(4671506-4667271)(4667146-4666878)(4666748-4663065)(4671679-4666748),23017,46.9783,1.242
94,GMA_circ00314_GLYMA10G05935|Chr10(-):(4671592-4671367)(4671592-4671367)(4671679-4671592)(4671506-4667271)(4671679-4671506),4950,48.3232,1.1434
95,GMA_circ00315_GLYMA10G06620|Chr10(+):(5371106-5371423)(5371106-5371423),636,45.9119,1.7547
96,GMA_circ00316_GLYMA10G07290|Chr10(-):(6001364-5999127)(6001364-5999127)(6001412-6001364)(6000686-6000597)(6000124-6000047)(5999457-5999417)(5999330-5998721)(6001412-5999330),7427,33.9033,1.0016
97,GMA_circ00317_GLYMA10G17370|Chr10(+):(20860484-20860904)(20860484-20860904)(20860904-20861535)(20860484-20861395)(20861395-20861535),2527,38.7812,1.3445
98,GMA_circ00318_GLYMA10G17570|Chr10(-):(21285343-21283553)(21285343-21283553)(21285384-21285343)(21285263-21285147)(21284956-21284805)(21284735-21284651)(21283649-21283555),4073,34.2499,1.272
99,GMA_circ00319_GLYMA10G17570|Chr10(-):(21285343-21284681)(21285343-21284681)(21285390-21285343)(21285263-21285147)(21284956-21284805)(21284735-21284651)(21285390-21284735),2384,36.745,1.4469
100,GMA_circ00320_GLYMA10G19040|Chr10(+):(23563292-23563434)(23563292-23563434)(23563434-23572142)(23570709-23571521)(23571615-23571749)(23563292-23572051)(23572051-23572142),18795,39.4733,1.3582
101,GMA_circ00321_GLYMA10G19040|Chr10(+):(23570709-23571521)(23570709-23571521)(23571521-23572142)(23571615-23571749)(23570709-23572051)(23572051-23572142),3818,39.4447,1.6514
102,GMA_circ00322_GLYMA10G20540|Chr10(+):(26119290-26119679)(26119290-26119679),780,45.3846,2.54
103,GMA_circ00323_GLYMA10G20570|Chr10(-):(26165198-26164191)(26165198-26164191),2016,44.6429,1.093
104,GMA_circ00324_GLYMA10G26790|Chr10(+):(35259638-35259692)(35259638-35259692)(35259692-35260255)(35259781-35259912)(35259659-35260020)(35260020-35260255),1404,41.9516,1.7653
105,GMA_circ00325_GLYMA10G29900|Chr10(+):(38653083-38653313)(38653083-38653313),462,43.7229,3.3913
106,GMA_circ00326_GLYMA10G29900|Chr10(+):(38653107-38653274)(38653107-38653274),336,42.2619,3.7333
107,GMA_circ00327_GLYMA10G30990|Chr10(+):(39576999-39577226)(39576999-39577226),456,62.7193,5.5
108,GMA_circ00328_GLYMA10G30990|Chr10(+):(39576999-39577493)(39576999-39577493),990,55.1515,4.5714
109,GMA_circ00329_GLYMA10G30990|Chr10(+):(39577008-39577427)(39577008-39577427),840,56.6667,4.5349
110,GMA_circ00330_GLYMA10G30990|Chr10(+):(39577032-39577373)(39577032-39577373),684,58.1871,4.1026
111,GMA_circ00331_GLYMA10G30990|Chr10(+):(39577032-39577400)(39577032-39577400),738,57.4526,4.0476
112,GMA_circ00332_GLYMA10G30990|Chr10(+):(39577042-39577413)(39577042-39577413),744,56.9892,4.0476
113,GMA_circ00333_GLYMA10G30990|Chr10(+):(39577137-39577413)(39577137-39577413),554,52.7076,4.4074
114,GMA_circ00334_GLYMA10G32080|Chr10(+):(40525542-40525592)(40525542-40525592)(40525592-40526838)(40525690-40525810)(40526700-40526834),1605,37.9439,1.1828
115,GMA_circ00335_GLYMA10G32080|Chr10(+):(40525690-40525810)(40525690-40525810)(40525810-40527112)(40526700-40526834)(40525720-40526997)(40526997-40527112),3074,36.9876,1.1332
116,GMA_circ00336_GLYMA10G32500|Chr10(+):(40969800-40969925)(40969800-40969925),252,45.2381,18.0
117,GMA_circ00337_GLYMA10G34370|Chr10(-):(42529754-42527687)(42529754-42527687)(42529800-42529754)(42529657-42529594)(42529515-42529471)(42528780-42528678)(42528125-42528049)(42527956-42527880)(42527767-42527687)(42529800-42527767),6664,35.3842,0.9699
118,GMA_circ00337_GLYMA10G34370|Chr10(-):(42529594-42527687)(42529594-42527687)(42529800-42529594)(42529515-42529471)(42528780-42528678)(42528125-42528049)(42527956-42527880)(42527767-42527687)(42529800-42527767),6440,35.0621,1.0089
119,GMA_circ00338_GLYMA10G34475|Chr10(+):(42641113-42641301)(42641113-42641301)(42641301-42642236)(42641417-42641461)(42641590-42641663)(42641113-42642167)(42642167-42642236),2558,37.0993,1.2488
120,GMA_circ00339_GLYMA10G35521|Chr10(+):(43764671-43764966)(43764671-43764966)(43764966-43766561)(43766043-43766183)(43764721-43766327)(43766327-43766561),4171,38.8636,1.2024
121,GMA_circ00340_GLYMA10G37020|Chr10(+):(45051705-45052112)(45051705-45052112),816,46.0784,3.087
122,GMA_circ00341_GLYMA10G37020|Chr10(+):(45051705-45052271)(45051705-45052271),1134,45.3263,2.8358
123,GMA_circ00342_GLYMA10G37020|Chr10(+):(45051874-45052112)(45051874-45052112),478,43.9331,2.75
124,GMA_circ00343_GLYMA10G39460|Chr10(-):(47125944-47125796)(47125944-47125796),298,53.0201,1.1944
125,GMA_circ00344_GLYMA10G39460|Chr10(-):(47125950-47125802)(47125950-47125802),298,53.6913,1.3529
126,GMA_circ00345_GLYMA10G40260|Chr10(+):(47730446-47730534)(47730446-47730534),178,40.4494,3.0
127,GMA_circ00468_GLYMA15G06050|Chr15(+):(4304049-4304170)(4304049-4304170)(4304170-4305269)(4304248-4304315)(4304793-4304902)(4304992-4305039)(4304049-4305117)(4305117-4305269),2792,37.2135,1.0175
128,GMA_circ00469_GLYMA15G07110|Chr15(-):(4968149-4967964)(4968149-4967964)(4968844-4968149),1068,29.8689,1.1849
129,GMA_circ00470_GLYMA15G07270|Chr15(-):(5101311-5101063)(5101311-5101063),498,46.5863,3.8333
130,GMA_circ00471_GLYMA15G07270|Chr15(-):(5101335-5101063)(5101335-5101063),546,46.1538,4.25
131,GMA_circ00472_GLYMA15G10890|Chr15(-):(7936279-7933725)(7936279-7933725)(7936337-7936279)(7935876-7935789)(7935684-7935556)(7935476-7935402)(7934844-7934791)(7934714-7934677)(7934595-7934436)(7934331-7934271)(7933756-7933308)(7936337-7933756),8805,35.4912,1.1058
132,GMA_circ00473_GLYMA15G10890|Chr15(-):(7939061-7936299)(7939061-7936299)(7939096-7939061)(7937270-7937001)(7936873-7936834)(7936721-7936618)(7936532-7936484)(7936385-7936279)(7939096-7936385),8844,35.6174,1.0792
133,GMA_circ00474_GLYMA15G10890|Chr15(-):(7937001-7936358)(7937001-7936358)(7937120-7937001)(7936873-7936834)(7936721-7936618)(7936532-7936484)(7936385-7936279)(7937120-7936385),2444,36.6612,1.018
134,GMA_circ00473_GLYMA15G10890|Chr15(-):(7939061-7936299)(7939061-7936299)(7939096-7939061)(7937257-7937001)(7936873-7936834)(7936721-7936618)(7936532-7936484)(7936385-7936279)(7939096-7936385),8831,35.6019,1.0794
135,GMA_circ00475_GLYMA15G11070|Chr15(+):(8101991-8102545)(8101991-8102545)(8102545-8104661)(8102642-8102703)(8102894-8102948)(8102281-8104595)(8104595-8104661),5726,39.5389,1.1562
136,GMA_circ00476_GLYMA15G12540|Chr15(+):(9258887-9259040)(9258887-9259040)(9259040-9261268)(9259469-9259668)(9258980-9261239)(9261239-9261268),5027,33.9367,1.2301
137,GMA_circ00477_GLYMA15G15910|Chr15(-):(12249125-12247955)(12249125-12247955)(12249186-12249125)(12248578-12248505)(12248353-12248228)(12248112-12247955)(12249186-12248112),3837,36.148,1.5127
138,GMA_circ00478_GLYMA15G15910|Chr15(-):(12249125-12247961)(12249125-12247961)(12249192-12249125)(12248578-12248505)(12248353-12248228)(12248112-12247955)(12249192-12248112),3837,36.148,1.5127
139,GMA_circ00477_GLYMA15G15910|Chr15(-):(12249125-12247955)(12249125-12247955)(12249186-12249125)(12248578-12248501)(12248341-12248228)(12248112-12247955)(12249186-12248112),3829,36.1191,1.5054
140,GMA_circ00478_GLYMA15G15910|Chr15(-):(12249125-12247961)(12249125-12247961)(12249192-12249125)(12248578-12248501)(12248341-12248228)(12248112-12247955)(12249192-12248112),3829,36.1191,1.5054
141,GMA_circ00479_GLYMA15G21890|Chr15(-):(20281052-20280681)(20281052-20280681),744,51.6129,1.4935
142,GMA_circ00480_GLYMA15G29900|Chr15(-):(32813051-32810380)(32813051-32810380)(32813119-32813051)(32812460-32812399)(32812298-32812212)(32811439-32811372)(32811288-32811240)(32811153-32811068)(32810437-32810380)(32813119-32810437),8506,32.5182,1.1576
143,GMA_circ00481_GLYMA15G36840|Chr15(+):(42290287-42290363)(42290287-42290363)(42290363-42292598)(42290287-42292529)(42292529-42292598),4703,31.7244,0.7976
144,GMA_circ00482_GLYMA15G40370|Chr15(-):(47342376-47342016)(47342376-47342016),722,48.1994,1.9
145,GMA_circ00483_GLYMA15G40370|Chr15(-):(47342554-47342151)(47342554-47342151),808,43.8119,2.6875
146,GMA_circ00484_GLYMA15G40370|Chr15(-):(47342554-47342156)(47342554-47342156),798,44.1103,2.6667
147,GMA_circ00485_GLYMA15G40450|Chr15(+):(47454287-47454617)(47454287-47454617)(47454617-47457245)(47454995-47455053)(47455990-47456045)(47456156-47456208)(47454413-47457136)(47457136-47457245),6293,30.8915,1.0836
148,GMA_circ00486_GLYMA15G42320|Chr15(-):(49714942-49711029)(49714942-49711029)(49715034-49714942)(49711808-49711701)(49711352-49711000)(49715034-49711352),12065,35.8475,1.0023
149,GMA_circ00486_GLYMA15G42320|Chr15(-):(49714942-49711029)(49714942-49711029)(49715034-49714942)(49711808-49711000)(49715034-49711808),11957,35.8117,1.0009
150,GMA_circ00132_GLYMA06G00275|Chr6(+):(93617-93728)(93617-93728)(93728-94136)(93828-93885)(93617-93981)(93981-94136),1212,41.5017,0.6384
151,GMA_circ00133_GLYMA06G00360|Chr6(+):(130344-130633)(130344-130633)(130633-131696)(130808-131035)(131334-131392)(130446-131547)(131547-131696),3183,35.4383,1.1988
152,GMA_circ00133_GLYMA06G00360|Chr6(+):(130446-130633)(130446-130633)(130633-131696)(130808-131035)(131334-131392)(130446-131547)(131547-131696),2979,35.0453,1.2355
153,GMA_circ00134_GLYMA06G01130|Chr6(+):(693274-693378)(693274-693378)(693378-697980)(693598-693705)(693801-693932)(694038-694220)(694320-694490)(695860-696000)(697731-697850)(693274-697930)(697930-697980),10376,36.4109,1.2828
154,GMA_circ00135_GLYMA06G01471|Chr6(-):(916575-916342)(916575-916342),468,46.1538,3.5
155,GMA_circ00136_GLYMA06G01471|Chr6(-):(916575-916379)(916575-916379),394,47.2081,3.65
156,GMA_circ00137_GLYMA06G02200|Chr6(-):(1456794-1455226)(1456794-1455226)(1456993-1456794)(1456140-1455894)(1455798-1455615)(1455371-1455200)(1456993-1455371),5564,38.6233,1.3904
157,GMA_circ00138_GLYMA06G02770|Chr6(-):(1872505-1871545)(1872505-1871545)(1872602-1872505)(1872433-1872403)(1872291-1872192)(1871615-1871545)(1872602-1871615),3210,37.134,0.8981
158,GMA_circ00139_GLYMA06G12770|Chr6(+):(9972222-9972292)(9972222-9972292)(9972292-9972686)(9972226-9972389)(9972389-9972686),999,38.7387,1.7063
159,GMA_circ00140_GLYMA06G13135|Chr6(+):(10283288-10283441)(10283288-10283441)(10283441-10289556)(10283976-10284068)(10284191-10284276)(10284368-10284491)(10285318-10285437)(10285803-10285853)(10286617-10286678)(10289084-10289141)(10289267-10289392)(10283288-10289476)(10289476-10289556),13414,34.3149,1.1241
